title,url,source,year_month,topic,tier,summary,rationale
"Building effective agents","https://www.anthropic.com/engineering/building-effective-agents","Anthropic Engineering","2024-12","foundational-concepts","S","Canonical taxonomy distinguishing workflows from agents and the building blocks: prompt chaining, routing, parallelization, orchestrator-workers, evaluator-optimizer. Argues for simple composable patterns over frameworks.","Cited everywhere; defines the pattern vocabulary every agent builder now uses."
"How we built our multi-agent research system","https://www.anthropic.com/engineering/multi-agent-research-system","Anthropic Engineering","2025-06","harness/loops","S","Architecture, prompts, and production lessons from Claude's Research feature with a lead-orchestrator + parallel subagents. Covers when multi-agent wins, token economics, and evals for non-deterministic traces.","Must-read anchor for multi-agent design; 90.2% better than single-agent at ~15x token cost."
"Effective context engineering for AI agents","https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents","Anthropic Engineering","2025-09","foundational-concepts","S","Reframes prompting as managing a finite attention budget via compaction, structured note-taking, sub-agents, and just-in-time retrieval. Defines the modern context-engineering frame.","Term-defining post for context engineering as a discipline."
"Claude Code: Best practices for agentic coding","https://www.anthropic.com/engineering/claude-code-best-practices","Anthropic Engineering","2025-04","adjacent-coding-or-computer-use","S","Anthropic's internal playbook for Claude Code: CLAUDE.md, slash commands, plan mode, headless usage, multi-claude patterns.","Defines current coding-agent UX; the practical companion to Building Effective Agents."
"Writing effective tools for agents — with agents","https://www.anthropic.com/engineering/writing-tools-for-agents","Anthropic Engineering","2025-09","foundational-concepts","S","How to design tool surfaces LLMs use well: minimize tool count, return high-signal payloads, iterate descriptions against evals using Claude itself to optimize the tools.","Best single article on tool design; agent-aided tool refinement is novel."
"Code execution with MCP: Building more efficient AI agents","https://www.anthropic.com/engineering/code-execution-with-mcp","Anthropic Engineering","2025-11","foundational-concepts","S","Instead of dumping hundreds of MCP tool defs into context, expose servers as a filesystem the agent writes code against. Demonstrates 150K→2K tokens (98.7% reduction) on a realistic task.","Paradigm-shifting for MCP users; cost math is dramatic."
"Effective harnesses for long-running agents","https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents","Anthropic Engineering","2025-11","harness/loops","S","An initializer-agent + coding-agent pattern using structured files and incremental progress tracking so Claude survives across many context windows. Concrete templates for preventing 'I'm done' hallucinations.","Best practical harness reference for long-horizon work."
"Equipping agents for the real world with Agent Skills","https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills","Anthropic Engineering","2025-10","foundational-concepts","A","Skills as progressively-disclosed bundles (metadata → docs → scripts) that agents discover and load on demand. New primitive for context management adjacent to MCP.","Explains an emerging primitive now copied across the ecosystem."
"Demystifying evals for AI agents","https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents","Anthropic Engineering","2026-01","foundational-concepts","S","End-to-end guide to evals for multi-turn, tool-using agents: trajectory metrics, LLM-as-judge, regression suites, integration with prod monitoring.","Authoritative agent-eval primer from the org that built Claude."
"Quantifying infrastructure noise in agentic coding evals","https://www.anthropic.com/engineering/infrastructure-noise","Anthropic Engineering","2026-02","foundational-concepts","A","Compute/IO differences between eval harnesses swing Terminal-Bench scores by 6 points — larger than gaps between top models. Required reading before trusting agent leaderboards.","Rare honest look at eval methodology pitfalls."
"Harness design for long-running application development","https://www.anthropic.com/engineering/harness-design-long-running-apps","Anthropic Engineering","2026-03","harness/loops","A","A GAN-style generator/critic multi-agent harness improves frontend design quality and full-stack app builds without changing the underlying model.","Concrete empirical data on critic-loop harnesses."
"Scaling Managed Agents: Decoupling the brain from the hands","https://www.anthropic.com/engineering/managed-agents","Anthropic Engineering","2026-04","production-deployment","A","Architectural split between model+harness (brain) and sandbox+tools (hands) so each can fail/upgrade independently. How Anthropic serves agent workloads in prod.","Production architecture insights from operator of the model."
"Beyond permission prompts: Claude Code sandboxing","https://www.anthropic.com/engineering/claude-code-sandboxing","Anthropic Engineering","2025-10","production-deployment","A","Linux bubblewrap / macOS Seatbelt sandboxes give Claude Code filesystem+network jails, cutting permission prompts by 84%. Includes open-sourced sandbox tooling.","Security/autonomy tradeoff worth studying for any coding-agent deployment."
